ACCESSION NO,AUTHOR,TITLE,Subtitle,YEAR,PAGE,PUBLISHER,SOURCE,BILL NO ,DATE,PRICE,,ISBN,Edition,Subject,Accompanying Material,Pages,Publisher,Year,
JR0001,,Looking Around Book 2: Text Book for EVS; Class 4,,2022,216,NCERT,"Hema Book World, banglore",GWG/17951,03-01-2024,65,,81-74506-64-0,,Enviornmental Studies,,216,"NCERT, NEW DELHI",2022,
JR0002,,Looking Around Book 2: Text Book for EVS; Class 4,,2022,216,NCERT,"Hema Book World, banglore",GWG/17952,03-01-2024,65,,81-74506-64-0,,Enviornmental Studies,,216,"NCERT, NEW DELHI",2022,
JR0003,,Looking Around Book 2: Text Book for EVS; Class 4,,2022,216,NCERT,"Hema Book World, banglore",GWG/17953,03-01-2024,65,,81-74506-64-0,,Enviornmental Studies,,216,"NCERT, NEW DELHI",2022,
JR0004,,Looking Around Book 2: Text Book for EVS; Class 4,,2022,216,NCERT,"Hema Book World, banglore",GWG/17954,03-01-2024,65,,81-74506-64-0,,Enviornmental Studies,,216,"NCERT, NEW DELHI",2022,
JR0005,,Marigold Book 4: Textbook for English; Class 4,,2022,168,NCERT,"Hema Book World, banglore",GWG/17955,03-01-2024,65,,81-74506-77-2,,English,,168,"NCERT, NEW DELHI",2022,
JR0006,,Marigold Book 4: Textbook for English; Class 4,,2022,168,NCERT,"Hema Book World, banglore",GWG/17956,03-01-2024,65,,81-74506-77-2,,English,,168,"NCERT, NEW DELHI",2022,
JR0007,,Marigold Book 4: Textbook for English; Class 4,,2022,168,NCERT,"Hema Book World, banglore",GWG/17957,03-01-2024,65,,81-74506-77-2,,English,,168,"NCERT, NEW DELHI",2022,
JR0008,,Marigold Book 4: Textbook for English; Class 4,,2022,168,NCERT,"Hema Book World, banglore",GWG/17958,03-01-2024,65,,81-74506-77-2,,English,,168,"NCERT, NEW DELHI",2022,
JR0009,,"Math Magic Book 4: Textbook for Mathematics, Class 4",,2022,170,NCERT,"Hema Book World, banglore",GWG/17959,03-01-2024,65,,87-4506-98-5,,Mathematics,,170,"NCERT, NEW DELHI",2022,
JR0010,,"Math Magic Book 4: Textbook for Mathematics, Class 4",,2022,170,NCERT,"Hema Book World, banglore",GWG/17960,03-01-2024,65,,87-4506-98-5,,Mathematics,,170,"NCERT, NEW DELHI",2022,
JR0011,,"Math Magic Book 4: Textbook for Mathematics, Class 4",,2022,170,NCERT,"Hema Book World, banglore",GWG/17961,03-01-2024,65,,87-4506-98-5,,Mathematics,,170,"NCERT, NEW DELHI",2022,
JR0012,,"Math Magic Book 4: Textbook for Mathematics, Class 4",,2022,170,NCERT,"Hema Book World, banglore",GWG/17962,03-01-2024,65,,87-4506-98-5,,Mathematics,,170,"NCERT, NEW DELHI",2022,
JR0013,,Looking Around: Text Book for EVS; Class 5,,2022,204,NCERT,"Hema Book World, banglore",GWG/17963,03-01-2024,65,,978-81-74508-26-3,,Enviornmental Studies,,204,"NCERT, NEW DELHI",2022,
